s591a,Kumunanchavadi,700
s591a,Poonamallee,800
s591a,Nazarathpet,900
s591a,Chembarambakkam,1000
s591a,Pappanchatram,1100
s591a,Chettipedu,1200
s591a,Thandalam Koot Road,1300
s591a,Tsr Rajalakshmi Nagar,1400
s591a,Valarpuram,1500
s591a,Mannur Village,1600
s591a,Sowbakkiya Nagar,1700
s591a,Kattu Koot Road,1800
s591a,Vayalur Cross Road,1900
s591a,Mudhukur Cross Road,2000
s591a,Poovalli Kuppam,2100
s591a,Meppedu,2200
s591a,Meppedu Koot Rd,2300
s591a,Kondanchery Christhuva Sa,2400
s591a,Koovam,2500
s591a,Perambakkam,2600
114,Red Hills,100
114,Aayurveda Ashramam,200
114,Kavangarai,300
114,Cycle Shop,400
114,Madhavaram Junction,500
114,Malligai Nagar Ave,600
114,Water Pipe Thanthankuppam,700
114,Weels India Rd.Jn.,800
114,Thirumangalam,900
114,Koyambedu School,1000
114,M.M.D.A.Colony Rd.Jn.,1100
114,Jn Of Iii And 1St Ave,1200
114,Jaffarkhan Pet,1300
114,Cipet,1400
114,St Thomas Mount Po,1500
114,Menamabakkam Old Airport,1600
114,Thirusoolam National Airp,1700
21g,Guindy R.S,1100
21g,St Thomas Mount Po,1200
21g,Menamabakkam Old Airport,1300
21g,Thirusoolam National Airp,1400
21g,Pallavaram,1500
21g,Chrompet,1600
21g,T.B.Sanatorium,1700
500,T.Nagar,100
114,Pallavaram,1800
114,Chrompet,1900
114,T.B.Sanatorium,2000
114,Tambaram,2100
114,Irumbuliyur,2200
114,Perungulathur,2300
114,Vandaloor,2400
114,Vandaloor Zoo,2500
s25g,Anna Square,100
s25g,V.House,200
s25g,Royapetta Hospital,300
s25g,Gemini P.H,400
s25g,Veterinary Hospital,500
s25g,Trustpuram,600
s25g,Vadapalani B.S,700
s25g,Virugambakkam,800
s25g,Valasaravakkam,900
s25g,Porur,1000
s25g,Ayyappan Thangal,1100
s25g,Kumunanchavadi,1200
s25g,Poonamallee,1300
s557,Broadway,100
s557,Parrys,200
s557,Clive Battery,300
s557,V. Nagar,400
s557,Vyasarpadi,500
s557,Sarma Nagar,600
s557,Moolakadai,700
s557,Madhavaram,800
s557,Cycle Shop,900
s557,Kavangarai,1000
s557,Aayurveda Ashramam,1100
s557,Red Hills,1200
s557,Padiyanallur,1300
s557,Semilivaram,1400
s557,Sholavaram,1500
s557,Karanodai,1600
s557,Periyapalayam Rd Jn.,1700
s557,Panjetti,1800
s557,Thatchur Koot Road,1900
s557,New Road,2000
s557,Puduvoyal,2100
s557,Peruvoyal,2200
s557,Kavaraped,2300
s557,Verkadu,2400
s557,Ayanallur,2500
s557,Gummudipoondi R.S.,2600
c56c,Broadway,100
c56c,Univercity Club,200
c56c,Thambuchetty St,300
c56c,Royapuram P.S,400
c56c,Tondaiayrpet,500
c56c,Thangal,600
c56c,Thiruvotriyur Temple,700
c56c,Thiruvetriyur B.S,800
m65b,Poonamallee,100
m65b,Karayancahvadi,200
m65b,Senneerkuppam,300
m65b,Melpakkam,400
m65b,Govardanagiri,500
m65b,Avadi Mosque,600
m65b,Avadi Circle,700
