trip_id,start_time,end_time,headway_secs
m29e-up,00:00:00,23:59:59,1980
m29e-down,00:00:00,23:59:59,1980
44-up,00:00:00,23:59:59,1980
44-down,00:00:00,23:59:59,1980
m21c-up,00:00:00,23:59:59,1980
m21c-down,00:00:00,23:59:59,1980
m48a-up,00:00:00,23:59:59,1980
m48a-down,00:00:00,23:59:59,1980
m51b-up,00:00:00,23:59:59,1980
m51b-down,00:00:00,23:59:59,1980
70c-up,00:00:00,23:59:59,1980
70c-down,00:00:00,23:59:59,1980
s170t-up,00:00:00,23:59:59,2040
s170t-down,00:00:00,23:59:59,2040
s500b-up,00:00:00,23:59:59,2040
s500b-down,00:00:00,23:59:59,2040
sm49-up,00:00:00,23:59:59,2040
sm49-down,00:00:00,23:59:59,2040
spp21-up,00:00:00,23:59:59,2040
spp21-down,00:00:00,23:59:59,2040
1b-up,00:00:00,23:59:59,2040
1b-down,00:00:00,23:59:59,2040
47d-up,00:00:00,23:59:59,2040
47d-down,00:00:00,23:59:59,2040
pp21-up,00:00:00,23:59:59,2040
pp21-down,00:00:00,23:59:59,2040
b18-up,00:00:00,23:59:59,2040
b18-down,00:00:00,23:59:59,2040
m142b-up,00:00:00,23:59:59,2040
m142b-down,00:00:00,23:59:59,2040
32ext-up,00:00:00,23:59:59,2040
32ext-down,00:00:00,23:59:59,2040
m45-up,00:00:00,23:59:59,2040
m45-down,00:00:00,23:59:59,2040
s588-up,00:00:00,23:59:59,2040
s588-down,00:00:00,23:59:59,2040
s17d-up,00:00:00,23:59:59,2100
s17d-down,00:00:00,23:59:59,2100
s47-up,00:00:00,23:59:59,2100
s47-down,00:00:00,23:59:59,2100
sg18-up,00:00:00,23:59:59,2100
sg18-down,00:00:00,23:59:59,2100
18e-up,00:00:00,23:59:59,2100
18e-down,00:00:00,23:59:59,2100
20e-up,00:00:00,23:59:59,2100
20e-down,00:00:00,23:59:59,2100
138a-up,00:00:00,23:59:59,2100
138a-down,00:00:00,23:59:59,2100
18d-up,00:00:00,23:59:59,2100
18d-down,00:00:00,23:59:59,2100
m19h-up,00:00:00,23:59:59,2100
m19h-down,00:00:00,23:59:59,2100
37b-up,00:00:00,23:59:59,2100
37b-down,00:00:00,23:59:59,2100
56e-up,00:00:00,23:59:59,2100
56e-down,00:00:00,23:59:59,2100
m119a-up,00:00:00,23:59:59,2100
m119a-down,00:00:00,23:59:59,2100
m119c-up,00:00:00,23:59:59,2100
m119c-down,00:00:00,23:59:59,2100
s5e-up,00:00:00,23:59:59,2100
s5e-down,00:00:00,23:59:59,2100
17d-up,00:00:00,23:59:59,2100
17d-down,00:00:00,23:59:59,2100
19h-up,00:00:00,23:59:59,2100
19h-down,00:00:00,23:59:59,2100
m56e-up,00:00:00,23:59:59,2100
m56e-down,00:00:00,23:59:59,2100
5e-up,00:00:00,23:59:59,2100
5e-down,00:00:00,23:59:59,2100
28a-up,00:00:00,23:59:59,2160
28a-down,00:00:00,23:59:59,2160
54l-up,00:00:00,23:59:59,2160
54l-down,00:00:00,23:59:59,2160
s11a-up,00:00:00,23:59:59,2220
s11a-down,00:00:00,23:59:59,2220
sp56d-up,00:00:00,23:59:59,2220
sp56d-down,00:00:00,23:59:59,2220
a45b-up,00:00:00,23:59:59,2220
a45b-down,00:00:00,23:59:59,2220
m54b-up,00:00:00,23:59:59,2220
m54b-down,00:00:00,23:59:59,2220
a57-up,00:00:00,23:59:59,2220
a57-down,00:00:00,23:59:59,2220
54b-up,00:00:00,23:59:59,2220
54b-down,00:00:00,23:59:59,2220
29n-up,00:00:00,23:59:59,2280
29n-down,00:00:00,23:59:59,2280
b18-up,00:00:00,23:59:59,2280
b18-down,00:00:00,23:59:59,2280
15-up,00:00:00,23:59:59,2280
15-down,00:00:00,23:59:59,2280
19g-up,00:00:00,23:59:59,2280
19g-down,00:00:00,23:59:59,2280
153-up,00:00:00,23:59:59,2280
153-down,00:00:00,23:59:59,2280
34-up,00:00:00,23:59:59,2280
34-down,00:00:00,23:59:59,2280
s159a-up,00:00:00,23:59:59,2280
s159a-down,00:00:00,23:59:59,2280
s17m-up,00:00:00,23:59:59,2280
s17m-down,00:00:00,23:59:59,2280
s521-up,00:00:00,23:59:59,2280
s521-down,00:00:00,23:59:59,2280
m37b-up,00:00:00,23:59:59,2280
m37b-down,00:00:00,23:59:59,2280
m70s-up,00:00:00,23:59:59,2280
m70s-down,00:00:00,23:59:59,2280
s170a-up,00:00:00,23:59:59,2400
s170a-down,00:00:00,23:59:59,2400
s578-up,00:00:00,23:59:59,2400
s578-down,00:00:00,23:59:59,2400
1a-up,00:00:00,23:59:59,2400
1a-down,00:00:00,23:59:59,2400
52k-up,00:00:00,23:59:59,2400
52k-down,00:00:00,23:59:59,2400
5b-up,00:00:00,23:59:59,2400
5b-down,00:00:00,23:59:59,2400
m11-up,00:00:00,23:59:59,2400
m11-down,00:00:00,23:59:59,2400
m45e-up,00:00:00,23:59:59,2400
m45e-down,00:00:00,23:59:59,2400
m51v-up,00:00:00,23:59:59,2400
m51v-down,00:00:00,23:59:59,2400
m157-up,00:00:00,23:59:59,2400
m157-down,00:00:00,23:59:59,2400
m127b-up,00:00:00,23:59:59,2400
m127b-down,00:00:00,23:59:59,2400
m61dct-up,00:00:00,23:59:59,2400
m61dct-down,00:00:00,23:59:59,2400
m70-up,00:00:00,23:59:59,2400
m70-down,00:00:00,23:59:59,2400
s1g-up,00:00:00,23:59:59,2400
s1g-down,00:00:00,23:59:59,2400
592a-up,00:00:00,23:59:59,2400
592a-down,00:00:00,23:59:59,2400
m121a-up,00:00:00,23:59:59,2400
m121a-down,00:00:00,23:59:59,2400
m61k-up,00:00:00,23:59:59,2400
m61k-down,00:00:00,23:59:59,2400
13b-up,00:00:00,23:59:59,2520
13b-down,00:00:00,23:59:59,2520
m18h-up,00:00:00,23:59:59,2520
m18h-down,00:00:00,23:59:59,2520
18h-up,00:00:00,23:59:59,2520
18h-down,00:00:00,23:59:59,2520
s71e-up,00:00:00,23:59:59,2580
s71e-down,00:00:00,23:59:59,2580
sa51-up,00:00:00,23:59:59,2580
sa51-down,00:00:00,23:59:59,2580
se18-up,00:00:00,23:59:59,2580
se18-down,00:00:00,23:59:59,2580
a51-up,00:00:00,23:59:59,2580
a51-down,00:00:00,23:59:59,2580
s27l-up,00:00:00,23:59:59,2640
s27l-down,00:00:00,23:59:59,2640
sc70-up,00:00:00,23:59:59,2640
sc70-down,00:00:00,23:59:59,2640
27l-up,00:00:00,23:59:59,2640
27l-down,00:00:00,23:59:59,2640
159an-up,00:00:00,23:59:59,2640
